Eu _ viajar naquele dia.|pude
Ela _ participar da reunião.|pôde
Nós _ ajudar no evento.|pudemos
Eles _ comparecer ao encontro.|puderam
Tu _ aprender rapidamente.|pudeste
Ele _ tentar resolver.|pôde
Vocês _ vencer a competição.|puderam
Eu _ entender a situação.|pude
Elas _ perguntar sobre o assunto.|puderam
Nós _ colaborar com o projeto.|pudemos
Eu _ resolver o problema.|pude
Ela _ concordar com a proposta.|pôde
Nós _ liderar o grupo.|pudemos
Eles _ sonhar com possibilidades.|puderam
Tu _ compreender a situação.|pudeste
Ele _ ousar fazer.|pôde
Vocês _ investigar a fundo.|puderam
Eu _ ousar tentar.|pude
Elas _ explorar novas ideias.|puderam
Nós _ contribuir com sugestões.|pudemos
Eu _ perguntar sobre o assunto.|pude
Ela _ vencer o desafio.|pôde
Nós _ solucionar o enigma.|pudemos
Eles _ concordar com a solução.|puderam
Tu _ liderar a equipe.|pudeste
Ele _ participar do evento.|pôde
Vocês _ ajudar no projeto.|puderam
Eu _ descansar um pouco.|pude
Elas _ aprender muito.|puderam
Nós _ tentar novamente.|pudemos
Eles _ colaborar no trabalho.|puderam
Tu _ investigar a situação.|pudeste
Ele _ resolver o problema.|pôde
Vocês _ sonhar com oportunidades.|puderam
Eu _ concordar com a solução.|pude
Elas _ vencer a competição.|puderam
Nós _ explorar novos horizontes.|pudemos
Eles _ entender a questão.|puderam
Tu _ perguntar sobre o tema.|pudeste
Ele _ colaborar no projeto.|pôde
Vocês _ resolver a questão.|puderam
Eu _ liderar o projeto.|pude
Elas _ ousar tentar.|puderam
Nós _ investigar os fatos.|pudemos
Eles _ compreender a situação.|puderam
Tu _ solucionar o problema.|pudeste
Ele _ explorar novas ideias.|pôde
Vocês _ contribuir com ideias.|puderam
