Eu _ um cachorro.|tive
Ela _ um gato.|teve
Nós _ um pássaro.|tivemos
Eles _ um peixe.|tiveram
Tu _ um coelho.|tiveste
Ele _ um hamster.|teve
Vocês _ um pássaro.|tiveram
Eu _ um cavalo.|tive
Elas _ um porquinho-da-índia.|tiveram
Nós _ um cão.|tivemos
Eu _ um gato.|tive
Ela _ um pássaro.|teve
Nós _ um peixe.|tivemos
Eles _ um hamster.|tiveram
Tu _ um porquinho-da-índia.|tiveste
Ele _ um cachorro.|teve
Vocês _ um coelho.|tiveram
Eu _ um porquinho-da-índia.|tive
Elas _ um cão.|tiveram
Nós _ um gato.|tivemos
Eu _ um coelho.|tive
Ela _ um cavalo.|teve
Nós _ um cavalo.|tivemos
Eles _ um porquinho-da-índia.|tiveram
Tu _ um pássaro.|tiveste
Ele _ um cão.|teve
Vocês _ um hamster.|tiveram
Eu _ um peixe.|tive
Elas _ um pássaro.|tiveram
Nós _ um coelho.|tivemos
Eles _ um gato.|tiveram
Tu _ um cão.|tiveste
Ele _ um peixe.|teve
Vocês _ um gato.|tiveram
Eu _ um porquinho-da-índia.|tive
Elas _ um cavalo.|tiveram
Nós _ um pássaro.|tivemos
Eles _ um coelho.|tiveram
Tu _ um gato.|tiveste
Ele _ um pássaro.|teve
Vocês _ um cachorro.|tiveram
Eu _ um hamster.|tive
Elas _ um peixe.|tiveram
Nós _ um porquinho-da-índia.|tivemos
Eles _ um pássaro.|tiveram
Tu _ um hamster.|tiveste
Ele _ um coelho.|teve
Vocês _ um pássaro.|tiveram
