Eu _ amanhã.|venho
Ela _ de longe.|vem
Nós _ com vocês.|vimos
Eles _ depois.|vêm
Tu _ à festa?|vens
Ele _ logo.|vem
Vocês _ mais tarde.|vêm
Eu _ de lá.|venho
Elas _ aqui.|vêm
Nós _ em breve.|vimos
Eu _ cedo.|venho
Ela _ ao escritório.|vem
Nós _ junto.|vimos
Eles _ a seguir.|vêm
Tu _ para cá?|vens
Ele _ rapidamente.|vem
Vocês _ na sequência.|vêm
Eu _ então.|venho
Elas _ agora.|vêm
Nós _ antes.|vimos
Eu _ após.|venho
Ela _ logo após.|vem
Nós _ constantemente.|vimos
Eles _ pouco depois.|vêm
Tu _ brevemente.|vens
Ele _ amanhã.|vem
Vocês _ ao mesmo tempo.|vêm
Eu _ de longe.|venho
Elas _ de lá.|vêm
Nós _ juntos.|vimos
Eles _ mais tarde.|vêm
Tu _ adiante.|vens
Ele _ tarde.|vem
Vocês _ de imediato.|vêm
Eu _ logo após.|venho
Elas _ de perto.|vêm
Nós _ então.|vimos
Eles _ constantemente.|vêm
Tu _ cedo.|vens
Ele _ junto.|vem
Vocês _ brevemente.|vêm
Eu _ rapidamente.|venho
Elas _ depois.|vêm
Nós _ pouco depois.|vimos
Eles _ ao mesmo tempo.|vêm
Tu _ de perto.|vens
Ele _ na sequência.|vem
Vocês _ então.|vêm
